ID,Vacancy_name,Salary,Experience,Company_name,Location
1,Менеджер по продажам,1 000 000 – 1 500 000 ₸ на руки,Без опыта,ТОО SDELKA PLUS,Астана
2,Менеджер в отдел продаж,500 000 – 3 000 000 ₸ на руки,Без опыта,Atrium,Алматы
3,Менеджер по продажам,400 000 – 2 000 000 ₸ до вычета налогов,Без опыта,ТОО QALANKZ,Алматы
4,Менеджер по продажам,300 000 – 600 000 ₸ на руки,Опыт 1-3 года,ТОО Trip Market Group,Алматы
5,Sales менеджер/ консультант,450 000 – 1 200 000 ₸ на руки,Без опыта,ТОО Trip Market Group,Алматы
6,Менеджер по продаже услуги / Hunter (Хантер),695 000 – 1 500 000 ₸ на руки,Опыт 1-3 года,ТОО Grand Car Kazakhstan (Гранд Кар Казахстан),Алматы
7,Менеджер по продажам,40 000 – 120 000 ₽ до вычета налогов,Без опыта,ИП Макавеева Олеся Александровна,Астана
8,Менеджер по продажам,от 60 000 ₽ на руки,Опыт 1-3 года,ООО Биосфера,Костанай
9,Менеджер по продажам,300 000 – 600 000 ₸ на руки,Без опыта,ТОО HB Trade/ Quickcall,Тараз
10,Менеджер по продажам рекламных услуг,250 000 – 500 000 ₸ на руки,Без опыта,ТОО 2GIS Astana,Астана
11,Менеджер по продажам (AE),400 000 – 1 200 000 ₸ на руки,Опыт 1-3 года,ЧК BILLZ Ltd,Алматы
12,Менеджер по продажам услуг,390 000 – 1 500 000 ₸ на руки,Опыт 3-6 лет,ТОО EMPATIA (ЭМПАТИЯ),Алматы
13,Менеджер по продажам автотоваров,400 000 – 1 200 000 ₸ на руки,Опыт 1-3 года,ИП ИМАНБЕКОВ Т.Б,Алматы
14,Менеджер по продажам / Продавец консультант,350 000 – 600 000 ₸ на руки,Опыт 1-3 года,ИП МУСАЕВА УЛПАШ ИСАЕВНА,Алматы
15,Менеджер по продажам,200 000 – 450 000 ₸ на руки,Без опыта,ИП Шырақбаев,Алматы
16,Менеджер по продажам в салон дизайнерской мягкой мебели Miralux,350 000 – 800 000 ₸ до вычета налогов,Опыт 1-3 года,ТОО MIRALUX.KZ,Алматы
17,Менеджер по работе с клиентами,300 000 – 550 000 ₸ на руки,Без опыта,ИП Гейслер Р.А.,Алматы
18,Менеджер по продажам,от 400 000 ₸ до вычета налогов,Опыт 1-3 года,ИП GE.education,Атырау
19,Менеджер по продажам,300 000 – 700 000 ₸ на руки,Опыт 1-3 года,ИП ANA company,Астана
20,Менеджер по продажам бесплатных консультаций (удаленно),1 000 – 2 000 € на руки,Опыт 1-3 года,kulbaev.ru,Алматы
21,Менеджер по работе с клиентами,300 000 – 1 000 000 ₸ на руки,Опыт 3-6 лет,ИП Холод-Экспо,Астана
22,Менеджер по продажам металлопроката,300 000 – 700 000 ₸ на руки,Без опыта,ТОО Казахстан металл курылысы,Алматы
23,Менеджер по продажам,250 000 – 700 000 ₸ до вычета налогов,Опыт 1-3 года,ИП Мухамедьярова З.М.,Астана
24,Менеджер по оптовым продажам металлопроката,200 000 – 5 750 000 ₸ на руки,Без опыта,ТОО Кронос-М,Астана
25,Менеджер по работе с клиентами,300 000 – 1 000 000 ₸ на руки,Опыт 3-6 лет,ТОО ПЕРВАЯПОМОЩЬ.KZ,Астана
26,"Менеджер по продажам, кухни (без поиска, теплые клиенты)",400 000 – 1 800 000 ₸ на руки,Опыт 1-3 года,ТОО Level-kuhni,Алматы
27,Менеджер по продажам IT услуг (B2B),от 700 000 ₸ до вычета налогов,Без опыта,ТОО DataBoom,Алматы
28,Менеджер по продажам,300 000 – 700 000 ₸ на руки,Опыт 1-3 года,ЧК BILLZ Ltd,Алматы
29,Sales менеджер,от 500 000 ₸ до вычета налогов,Опыт 1-3 года,Частная компания Sana Holding Ltd.,Астана
30,Менеджер по продажам,250 000 – 400 000 ₸ на руки,Опыт 1-3 года,ИП Воробьева,Алматы
31,Менеджер по продажам мебели,70 000 – 150 000 ₽ на руки,Опыт 1-3 года,Кухни Москва,Алматы
32,Менеджер по продажам,500 000 – 2 000 000 ₸ на руки,Без опыта,ИП Avenue (ТАНАТАРОВ А.М),Астана
33,Менеджер по продажам на личных встречах (без поиска клиентов),от 600 000 ₸ на руки,Опыт 1-3 года,ТОО Level-kuhni,Алматы
34,Менеджер по продажам услуг,400 000 – 600 000 ₸ на руки,Без опыта,ТОО RT GROUP,Астана
35,Менеджер по продажам,300 000 – 1 000 000 ₸ на руки,Опыт 3-6 лет,ТОО ПЕРВАЯПОМОЩЬ.KZ,Астана
36,Менеджер по продажам металлопроката в город Алматы,500 000 – 800 000 ₸ на руки,Без опыта,ТОО ГК Велунд Сталь-Алматы,Алматы
37,Менеджер по продажам (по горячим заявкам),600 000 – 1 200 000 ₸ до вычета налогов,Опыт 1-3 года,ТОО Mutayev & CO,Астана
38,Менеджер по продажам (Развлекательная сфера),350 000 – 900 000 ₸ на руки,Без опыта,ТОО LIBERTY SPACE,Алматы
39,Менеджер по продажам,200 000 – 1 500 000 ₸ до вычета налогов,Опыт 1-3 года,ТОО Sattar Consulting,Алматы
40,Менеджер по продажам,от 400 000 ₸ до вычета налогов,Опыт 1-3 года,ТОО Hartmann Kazakhstan,Астана
41,Менеджер по продажам строительных материалов,350 000 – 600 000 ₸ до вычета налогов,Опыт 1-3 года,ТОО OLZHA GROUPP,Астана
42,Менеджер по продажам средств защиты растений,от 500 000 ₸ на руки,Без опыта,ТОО STRATERA,Костанай
43,Менеджер по продажам средств защиты растений,от 500 000 ₸ на руки,Без опыта,ТОО STRATERA,Астана
44,Менеджер по продажам,180 000 – 300 000 ₸ на руки,Опыт 1-3 года,ИП ГЕОНА.KAZ,Актобе
45,Менеджер по продажам средств защиты растений,от 500 000 ₸ на руки,Без опыта,ТОО STRATERA,Усть-Каменогорск
46,Менеджер по продажам средств защиты растений,от 500 000 ₸ на руки,Без опыта,ТОО STRATERA,Кокшетау
47,Менеджер по продажам средств защиты растений,от 500 000 ₸ на руки,Без опыта,ТОО STRATERA,Семей
48,Менеджер по оптовым продажам игрушки,250 000 – 750 000 ₸ до вычета налогов,Опыт 1-3 года,ТОО KitonikGroup,Алматы
49,Менеджер по продажам,200 000 – 350 000 ₸ на руки,Без опыта,ИП ИВАНОВ И.А. «Школа робототехники Byte»,Кокшетау
50,Менеджер по оптовым продажам,300 000 – 600 000 ₸ на руки,Опыт 1-3 года,"INTELLPACK, компания",Алматы
51,Менеджер по продажам,200 000 – 350 000 ₸ на руки,Без опыта,ИП ИВАНОВ И.А. «Школа робототехники Byte»,Усть-Каменогорск
