ID,Vacancy_name,Salary,Experience,Company_name,Location
1,Администратор / Офис-менеджер,от 300 000 ₸ на руки,Опыт 3-6 лет,ИП Imperial Almaty,Алматы
2,Офис-менеджер,от 200 000 ₸ на руки,Опыт 1-3 года,ИП Modify.kz,Караганда
3,Офис-менеджер,от 250 000 ₸ на руки,Опыт 1-3 года,ТОО ГК Велунд Сталь-Алматы,Алматы
4,Офис менеджер,,Опыт 1-3 года,ТОО Сей-Нар,Усть-Каменогорск
5,Секретарь,,Опыт 1-3 года,ТОО Tranco Industrial Railways Transportation,Жезказган
6,Ассистент руководителя/секретарь,400 000 – 500 000 ₸ на руки,Опыт 1-3 года,ТОО Энерго-решение,Алматы
7,Офис-менеджер,200 000 – 270 000 ₸ на руки,Без опыта,ИП WHITE LINE,Астана
8,Офис-менеджер,250 000 – 250 000 ₸ на руки,Без опыта,ТОО Интернет Решения,Алматы
9,Офис-менеджер,от 250 000 ₸ на руки,Без опыта,ТОО El Company,Алматы
10,Офис-менеджер,300 000 – 550 000 ₸ на руки,Опыт 1-3 года,"ТОО ЛЮЙЕ КЗ - LVYE KZ CO., LTD",Астана
11,Офис-менеджер,250 000 – 250 000 ₸ на руки,Без опыта,ТОО Алматинский оконный сервис,Алматы
12,Офис-менеджер,от 200 000 ₸ на руки,Без опыта,ТОО IM Service,Алматы
13,Офис-менеджер,до 250 000 ₸ до вычета налогов,Опыт 1-3 года,ТОО Exim Artis,Караганда
14,Офис-менеджер,250 000 – 350 000 ₸ на руки,Опыт 1-3 года,ТОО Documentolog,Астана
15,Офис-менеджер (секретарь),от 200 000 ₸ до вычета налогов,Опыт 1-3 года,ТОО Семей Жолдары,Семей
16,Офис-менеджер,от 300 000 ₸ на руки,Без опыта,ТОО МК Белый Куб,Алматы
17,Офис-менеджер,250 000 – 350 000 ₸ до вычета налогов,Опыт 1-3 года,ТОО Alga Co Inc,Алматы
18,Офис-менеджер,от 300 000 ₸ на руки,Без опыта,ТОО СРБ-L,Алматы
19,Офис-менеджер,до 300 000 ₸ на руки,Без опыта,ТОО SAMRUK Trade,Алматы
20,Офис-менеджер,250 000 – 250 000 ₸ на руки,Без опыта,ТОО NURMAX-K,Алматы
21,Офис-менеджер,250 000 – 300 000 ₸ на руки,Опыт 1-3 года,"ТОО KERULEN LOGISTICS & BUSINESS CONSULTING CO.,LTD",Алматы
22,Офис-менеджер,300 000 – 350 000 ₸ на руки,Опыт 1-3 года,ТОО UNICO KAZAKHSTAN,Алматы
23,Офис-менеджер,200 000 – 250 000 ₸ до вычета налогов,Опыт 1-3 года,ТОО Астыкжан Костанай,Костанай
24,Офис менеджер (ресепшн),350 000 – 350 000 ₸ до вычета налогов,Опыт 1-3 года,ТОО Hyundai Auto Kazakhstan,Алматы
25,Офис-менеджер,от 200 000 ₸ на руки,Без опыта,Sulpak,Алматы
26,Офис-менеджер,от 300 000 ₸ на руки,Опыт 1-3 года,ЦентрСтрой7,Алматы
27,Администратор офиса,до 220 000 ₸ на руки,Без опыта,ТОО «Ferrocarril Company»,Алматы
28,Офис-менеджер,от 150 000 ₸ на руки,Без опыта,ТОО Инжиниринговая Компания KAZTECHNOLOGY,Астана
29,"Секретарь-делопроизводитель в ОФ ""NNEF""",281 000 – 281 000 ₸ на руки,Опыт 1-3 года,Фонд Общественный фонд «NNEF»,Алматы
30,Офис-менеджер,до 300 000 ₸ на руки,Опыт 3-6 лет,ТОО БАҒАШАР МЕКЕН,Алматы
31,Секретарь руководителя,200 000 – 300 000 ₸ на руки,Опыт 1-3 года,ТОО The Wall Street Kazakhstan,Астана
32,Офис-менеджер,,Без опыта,ТОО ПРИМАВТО,Алматы
33,Офис-менеджер,200 000 – 200 000 ₸ на руки,Опыт 1-3 года,ТОО «Greenhouse-Qaztomat» (Гринхаус-Казтомат),Экибастуз
34,Офис-менеджер,до 250 000 ₸ на руки,Без опыта,ТОО «Izi Paq»,Астана
35,Офис-менеджер,от 200 000 ₸ на руки,Без опыта,ТОО Sau Med Group,Астана
36,Офис-менеджер,200 000 – 250 000 ₸ на руки,Без опыта,ИП Самойленко Л.В.(ModenTrade),Алматы
37,Секретарь,150 000 – 150 000 ₸ на руки,Без опыта,ТОО АлCap,Костанай
38,Офис-менеджер,до 450 000 ₸ на руки,Опыт 3-6 лет,ТОО Коллекторское агентство ЭОС,Алматы
39,Офис-менеджер,200 000 – 200 000 ₸ на руки,Без опыта,ТОО Нурсай Энерджи,Астана
40,"Офис-менеджер, администратор",,Без опыта,ТОО Торговый Дом Intant,Алматы
41,Офис-менеджер,от 180 000 ₸ на руки,Опыт 1-3 года,ТОО Управляющая компания KeruenCity,Актобе
42,Офис-менеджер,,Опыт 1-3 года,ТОО Астанинский электротехнический завод,Астана
43,Секретарь-референт,от 197 000 ₸ на руки,Опыт 1-3 года,ТОО ВостокУгольПром,Семей
44,Офис-менеджер,200 000 – 250 000 ₸ до вычета налогов,Опыт 1-3 года,ТОО Optimus kz,Караганда
45,Корпоративный секретарь,300 000 – 336 000 ₸ до вычета налогов,Опыт 3-6 лет,АО Қазақ әуендері,Астана
46,Офис-менеджер,от 200 000 ₸ на руки,Без опыта,ТОО Komandeer Supply,Астана
47,Офис-менеджер,300 000 – 400 000 ₸ на руки,Опыт 1-3 года,ТОО ProHunters,Алматы
48,Офис-менеджер,200 000 – 250 000 ₸ на руки,Опыт 1-3 года,ТОО Turk Dunyasi,Алматы
49,Офис-менеджер,280 000 – 280 000 ₸ на руки,Опыт 1-3 года,ТОО Silkway Auto Kazakhstan,Алматы
50,Секретарь,200 000 – 200 000 ₸ до вычета налогов,Опыт 1-3 года,ТОО Kst trade,Костанай
51,Офис-менеджер / секретарь-делопроизводитель,,Опыт 1-3 года,ТОО Terminal Logistics Services,Алматы
52,Офис-менеджер,до 225 000 ₸ на руки,Опыт 1-3 года,"ТОО Компания СтройДекор, ТМ",Караганда
53,Офис-менеджер,до 250 000 ₸ до вычета налогов,Опыт 1-3 года,ТОО АгроТехМенеджмент,Астана
54,Офис-менеджер,от 250 000 ₸ до вычета налогов,Опыт 1-3 года,ТОО FASHIONMANIA,Караганда
55,Офис-менеджер,от 250 000 ₸ на руки,Опыт 1-3 года,ТОО Bolashaq Trade Group,Алматы
56,Офис менеджер,200 000 – 300 000 ₸ на руки,Опыт 3-6 лет,ТОО Royal Meat Qazaqstan,Алматы
57,Офис-менеджер,200 000 – 250 000 ₸ на руки,Без опыта,ТОО VESTIS ASIA,Алматы
58,Офис-менеджер,от 200 000 ₸ на руки,Без опыта,ТОО ТД Qaz Fiber cement,Алматы
59,Офис-менеджер,230 000 – 350 000 ₸ на руки,Опыт 1-3 года,ТОО Art Flowers,Астана
