ID,Vacancy_name,Salary,Experience,Company_name,Location
1,Графический дизайнер,300 000 – 600 000 ₸ до вычета налогов,Опыт 3-6 лет,ИП Рекламный центр Идеал,Астана
2,Дизайнер,150 000 – 500 000 ₸ на руки,Без опыта,ИП Оңалбаев,Шымкент
3,Дизайнер городской среды,150 000 – 400 000 ₸ на руки,Опыт 1-3 года,ТОО Вибро Мастер Казахстан,Актобе
4,Графический дизайнер,от 300 000 ₸ на руки,Опыт 3-6 лет,ИП ДХС InDiGo,Астана
5,Графический дизайнер,,Опыт 1-3 года,EduPlat LTD,Алматы
6,Дизайнер в мебельной компании,600 000 – 1 000 000 ₸ на руки,Без опыта,ТОО МК Белый Куб,Алматы
7,Графический дизайнер,,Опыт 3-6 лет,Berin Iglesias Art,Астана
8,Графический дизайнер,350 – 500 $ на руки,Опыт 1-3 года,Гребенщикова Екатерина Валерьевна,Астана
9,Графический дизайнер,,Опыт 3-6 лет,Berin Iglesias Art,Алматы
10,Графический дизайнер,160 000 – 250 000 ₸ на руки,Без опыта,ИП 1 Million,Астана
11,Дизайнер,,Опыт 1-3 года,Sulpak,Алматы
12,Дизайнер,200 000 – 800 000 ₸ на руки,Опыт 1-3 года,ТОО ARTER,Астана
13,Дизайнер-декоратор,250 000 – 1 000 000 ₸ до вычета налогов,Без опыта,ИП AJ LIFE STYLE,Алматы
14,Графический дизайнер,,Опыт 1-3 года,АО Страховая компания Сентрас Иншуранс,Алматы
15,Графический дизайнер,200 000 – 250 000 ₸ до вычета налогов,Опыт 1-3 года,ТОО Next,Алматы
16,Дизайнер,250 000 – 450 000 ₸ на руки,Опыт 1-3 года,ТОО Стеклоцентр 2008,Костанай
17,Младший Графический Дизайнер,,Опыт 1-3 года,ТОО DNF,Алматы
18,Графический дизайнер,,Опыт 1-3 года,ТОО DOSLIFE GROUP,Астана
19,Графический дизайнер,250 000 – 350 000 ₸ на руки,Опыт 3-6 лет,ТОО Marc,Алматы
20,Дизайнер,250 000 – 400 000 ₸ на руки,Опыт 1-3 года,ИП РеАгент,Астана
21,UX/UI-дизайнер,700 000 – 900 000 ₸ на руки,Опыт 3-6 лет,ТОО RNM KZ,Алматы
22,Графический дизайнер,от 400 000 ₸ на руки,Опыт 3-6 лет,ТОО Бизнес парк Станица,Алматы
23,Креативный дизайнер,300 000 – 360 000 ₸ на руки,Опыт 3-6 лет,ТОО RB Brands,Алматы
24,Графический дизайнер,от 250 000 ₸ до вычета налогов,Опыт 1-3 года,ТОО КРЕАРЕ,Алматы
25,Графический дизайнер,,Опыт 3-6 лет,ТОО Mosaic Agency,Алматы
26,Архитектор-дизайнер,от 350 000 ₸ до вычета налогов,Опыт 1-3 года,ТОО NAMARK PROJECT,Алматы
27,Дизайнер-консультант,350 000 – 1 500 000 ₸ до вычета налогов,Без опыта,ТОО NNB MODUL,Алматы
28,Дизайнер,,Опыт 1-3 года,ТОО Buy Cup,Астана
29,Графический дизайнер архитектурных проектов,,Без опыта,ТОО Pe.Pl.CULT,Алматы
