ID,Vacancy_name,Salary,Experience,Company_name,Location
1,Коммерческий директор (CCO),800 000 – 1 500 000 ₸ до вычета налогов,Опыт более 6 лет,ТОО Как в кино,Караганда
2,Директор завода,700 000 – 800 000 ₸ на руки,Опыт 3-6 лет,ТОО Бизнес парк Станица,Алматы
3,Руководитель отдела продаж,960 000 – 1 700 000 ₸ на руки,Опыт 1-3 года,ТОО Grand Car Kazakhstan (Гранд Кар Казахстан),Алматы
4,Управляющий/Директор ресторана,350 000 – 650 000 ₸ до вычета налогов,Опыт 3-6 лет,ТОО SAF ALASH FOOD,Алматы
5,Управляющий в оздоровительный центр,от 300 000 ₸ до вычета налогов,Опыт 1-3 года,ИП Атлант,Астана
6,Операционный директор (COO) в юридическую компанию,900 000 – 1 000 000 ₸ до вычета налогов,Опыт более 6 лет,ТОО QCG (КьюСиДжи),Алматы
7,Исполнительный директор хозяйства,от 1 000 000 ₸ до вычета налогов,Опыт 3-6 лет,ТОО Нурай-Н,Костанай
8,Директор филиала,от 1 000 000 ₸ до вычета налогов,Опыт 3-6 лет,ИП Иркиналинова З.Е.,Астана
9,Заместитель директора по коммерческим вопросам и снабжения,до 1 000 000 ₸ до вычета налогов,Опыт 1-3 года,ТОО ДЕДОВ,Караганда
10,Заместитель генерального директора/директор производства,,Опыт более 6 лет,ТОО ВИП Системы,Алматы
11,"Операционный директор в IT-стартап (удалённо, резиденты Astana Hub)",100 000 – 600 000 ₽ до вычета налогов,Опыт 3-6 лет,ООО ИнтеллектДиалог,Алматы
12,Исполнительный директор,от 500 000 ₸ на руки,Опыт 1-3 года,ТОО Dentalpro,Алматы
13,"Координатор-помощник учредителя, Генерального директора компании пищевого производства и торговли",,Опыт 3-6 лет,ТОО Мясоперерабатывающий завод БИЖАН,Алматы
14,Директор сельскохозяйственного предприятия,,Опыт более 6 лет,ТОО Hi-Teck Qazaqstan,Астана
15,Региональный директор,,Опыт 3-6 лет,ТОО SLS Retail Group,Алматы
16,Исполнительный директор (CEO),,Опыт 3-6 лет,ТОО Salaryfan,Алматы
17,Руководитель филиала,500 000 – 500 000 ₸ до вычета налогов,Опыт 3-6 лет,ТОО Фирма Стальной союз,Усть-Каменогорск
18,Руководитель развития филиальной сети,1 000 000 – 1 000 000 ₸ до вычета налогов,Опыт 3-6 лет,ТОО Фирма Стальной союз,Астана
19,Управляющий филиалом,от 150 000 ₽ на руки,Без опыта,ООО Телепорт Г,Астана
