ID,Vacancy_name,Salary,Experience,Company_name,Location
25,1C Programmer (Программист 1С),от 2 500 $ до вычета налогов,Опыт 3-6 лет,ТОО Sinteks (Синтекс),Алматы
26,Программиста WordPress,300 000 – 350 000 ₸ до вычета налогов,Без опыта,Учреждение Казахский автомобильно-дорожный институт имени Л.Б.Гончарова (КазАДИ),Алматы
27,Программист 1С,до 800 000 ₸ на руки,Опыт 3-6 лет,ТОО HUMAN CAPITAL GROUP,Алматы
28,Программист 1С,,Опыт 1-3 года,ТОО Диалог-Сервис,Алматы
29,Программист 1С,от 2 500 $ до вычета налогов,Опыт 3-6 лет,ТОО Sinteks (Синтекс),Астана
30,Embedded программист C/С++,,Опыт 1-3 года,ТОО WSE,Астана
31,Старший программист,до 500 000 ₸ на руки,Опыт 1-3 года,"ТОО Международная Образовательная Корпорация, ТОО",Алматы
32,Программист 1С (международное направление),400 000 – 1 200 000 ₸ на руки,Опыт 1-3 года,ТОО Сеть магазинов цифровой и бытовой техники ДНС КАЗАХСТАН,Астана
33,Инженер-программист 1C,от 300 000 ₸ на руки,Опыт 1-3 года,ТОО Railways Systems KZ,Экибастуз
34,Программист 1С (разработчик),от 1 000 000 ₸ на руки,Опыт 1-3 года,ТОО Бостан,Алматы
35,Инженер-программист,380 000 – 800 000 ₸ на руки,Опыт 3-6 лет,ТОО АЛМАТЫЭНЕРГОСЕРВИС,Алматы
36,Программист 1С,800 000 – 1 000 000 ₸ на руки,Опыт 1-3 года,ТОО QazaqOil (PetroRetail),Астана
37,Программист 1С,250 000 – 500 000 ₸ на руки,Без опыта,ТОО Алгоритм Сервис,Костанай
38,Программист 1C / Программист / Инженер-программист,,Опыт 1-3 года,ТОО Караганды-Нан Трейд,Караганда
39,Программист-разработчик 1С,550 000 – 850 000 ₸ на руки,Опыт 3-6 лет,ТОО RuSoft company,Астана
40,Программист 1С,,Опыт 3-6 лет,ТОО Центр Красоты и Здоровья НикОль,Алматы
41,Техник-программист,250 000 – 350 000 ₸ на руки,Опыт 1-3 года,ТОО АЛМАТЫЭНЕРГОСЕРВИС,Алматы
42,Инженер-программист 1С (Senior),от 300 000 ₸ на руки,Опыт 3-6 лет,ТОО Railways Systems KZ,Экибастуз
43,Программист 1С,500 000 – 700 000 ₸ на руки,Опыт 1-3 года,"ТОО EUROPHARMA, ТМ (ТОО AK NIET GROUP)",Шымкент
44,Программист 1C,,Опыт 3-6 лет,ТОО Торговый дом Кама Казахстан,Уральск
45,Программист 1С,500 000 – 700 000 ₸ на руки,Опыт 1-3 года,"ТОО EUROPHARMA, ТМ (ТОО AK NIET GROUP)",Астана
46,Программист 1С (Middle),333 000 – 535 000 ₸ на руки,Опыт 3-6 лет,ТОО Арида-Софт,Актау
47,Программист 1С,,Опыт 3-6 лет,ТОО Карагандинский фармацевтический комплекс,Караганда
48,Учитель программирования (разработчик),,Опыт 1-3 года,ТОО Частная Школа Пифагор,Алматы
49,Программист 1С,,Опыт 1-3 года,"ТОО EUROPHARMA, ТМ (ТОО AK NIET GROUP)",Алматы
50,Программист 1С,от 400 000 ₸ на руки,Опыт 3-6 лет,ТОО Сейф-ломбард,Алматы
51,Программист 1С,300 000 – 1 500 000 ₸ на руки,Без опыта,ТОО ASTER AUTO,Алматы
52,PHP программист,200 000 – 250 000 ₸ до вычета налогов,Опыт 1-3 года,Костанайский инженерно-экономический университет им. М.Дулатова,Костанай
53,Инженер-программист,от 800 000 ₸ на руки,Опыт 3-6 лет,ИП HR Компания «CHANGE» (ИП Куприянова),Алматы
54,Программист С++,500 000 – 800 000 ₸ на руки,Опыт 1-3 года,ТОО WSE,Алматы
55,Инженер-программист,350 000 – 500 000 ₸ на руки,Опыт 1-3 года,ТОО Plastforma Kazakhstan,Алматы
56,Программист 1С,от 350 000 ₸ до вычета налогов,Опыт 1-3 года,ТОО Первый БИТ,Астана
57,Программист AI,,Опыт 1-3 года,ТОО WSE,Алматы
58,Техник-программист,200 000 – 250 000 ₸ на руки,Опыт 1-3 года,ТОО Силумин-Восток,Усть-Каменогорск
59,Программист-разработчик,,Опыт 1-3 года,ТОО СОЛО ЛЛП (SOLO LLP),Алматы
60,Программист 1С,400 000 – 1 200 000 ₸ на руки,Опыт 1-3 года,ТОО Сеть магазинов цифровой и бытовой техники ДНС КАЗАХСТАН,Атырау
61,"Frontend middle программист/разработчик (Vue2,3)",350 000 – 450 000 ₸ до вычета налогов,Опыт 1-3 года,ТОО Oktrening,Актау
62,"Frontend middle программист/разработчик (Vue2,3)",350 000 – 450 000 ₸ до вычета налогов,Опыт 1-3 года,ТОО Oktrening,Актобе
63,"Frontend middle программист/разработчик (Vue2,3)",350 000 – 450 000 ₸ до вычета налогов,Опыт 1-3 года,ТОО Oktrening,Усть-Каменогорск
64,Разработчик ПО,,Опыт 1-3 года,ТОО FUN&SUN,Алматы
65,Программист .net,500 000 – 800 000 ₸ до вычета налогов,Опыт 3-6 лет,"НАТ Казахстан, AO",Астана
66,Программист .net,500 000 – 800 000 ₸ до вычета налогов,Опыт 3-6 лет,"НАТ Казахстан, AO",Алматы
67,Программист С/С++,,Опыт 1-3 года,ТОО DVM Systems,Астана
68,Программист 1С,,Опыт 1-3 года,"Евразийский банк, АО",Алматы
69,Программист,,Опыт 1-3 года,ТОО Стофарм,Костанай
70,Web-программист,,Опыт 1-3 года,ТОО DAT STUDIO,Алматы
71,Стажер-программист-маркетолог в маркетинговом интернет-агентстве LEMAKKA,,Без опыта,ИП LEMAKKA,Усть-Каменогорск
72,Backend developers,,Опыт 1-3 года,ТОО Академия физической культуры и массового спорта,Астана
73,Инженер-программист,200 000 – 250 000 ₸ на руки,Опыт 1-3 года,АО Тыныс,Кокшетау
74,Программист 1C,400 000 – 1 200 000 ₸ на руки,Опыт 1-3 года,ТОО Optimal Course,Алматы
75,"Frontend-разработчик, backend программист",400 000 – 600 000 ₸ на руки,Опыт 1-3 года,РГП на ПХВ Национальный центр тестирования МНВО РК,Астана
76,Программист 1C,от 500 000 ₸ на руки,Опыт 3-6 лет,ТОО Rubin Servis,Актобе
77,Специалист по безопасности приложений (AppSec Engineer),,Опыт 3-6 лет,ТОО Freedom Technologies,Алматы
78,Finance Manager / Финансовый менеджер,,Опыт 3-6 лет,ТОО Sheraton Astana Hotel,Астана
79,B2B Менеджер по продажам в HR-стартап,900 000 – 1 200 000 ₸ на руки,Опыт 1-3 года,ТОО SoBes,Алматы
80,Менеджер в отдел продаж,500 000 – 3 000 000 ₸ на руки,Без опыта,Atrium,Алматы
81,B2B Руководитель отдела продаж в HR-Стартап,900 000 – 1 200 000 ₸ до вычета налогов,Опыт 1-3 года,ТОО SoBes,Алматы
82,Специалист отдела продаж и клиентского обслуживания,500 000 – 3 000 000 ₸ на руки,Без опыта,Atrium,Алматы
83,Управляющий/Директор ресторана,350 000 – 650 000 ₸ до вычета налогов,Опыт 3-6 лет,ТОО SAF ALASH FOOD,Алматы
84,Business Development Manager,от 1 000 000 ₸ до вычета налогов,Опыт 1-3 года,ТОО Alexis Company,Алматы
85,Support Associate (Сотрудник службы поддержки),120 000 – 250 000 ₸ до вычета налогов,Без опыта,ТОО Wolt TechnologiesKazakhstan (Вольт Технолоджис Казахстан),Астана
86,Менеджер по продажам в школу IT,от 400 000 ₸ на руки,Опыт 1-3 года,ТОО Decode Group,Алматы
87,Программист 1С,,Опыт 3-6 лет,АО ЭЛКАМ-нефтемаш,Петропавловск
88,PHP-разработчик,300 000 – 700 000 ₸ на руки,Опыт 1-3 года,ТОО Documentolog,Астана
89,Backend разработчик C#/PHP,до 700 000 ₸ на руки,Опыт 3-6 лет,ТОО Unipark,Астана
90,Программист 1С,,Опыт 3-6 лет,АО ЭЛКАМ-нефтемаш,Астана
91,Middle Full-stack Developer,,Опыт 3-6 лет,ТОО Омас Интегрейтед,Актобе
92,Программист разработчик Департамента информационных технологий (PHP),,Опыт 3-6 лет,"Жасыл даму, АО",Астана
93,Программист 1С,,Опыт более 6 лет,"Galanz Bottlers, АО",Алматы
94,Программист 1С,от 480 000 ₸ на руки,Опыт 1-3 года,ТОО Автопитер.кз,Алматы
95,Программист 1С,,Без опыта,ТОО Аврора Холдинг,Алматы
96,Программист 1С,от 800 000 ₸ на руки,Опыт 3-6 лет,Mechta.kz TM ( ТОО Мечта Маркет ),Астана
97,Программист 1С,,Опыт 3-6 лет,ТОО Петрофон,Алматы
98,"PHP программист в IT-стартап (Удаленно, ""Резиденты Астана Hub"")",100 000 – 120 000 ₽ на руки,Опыт 3-6 лет,ООО ИнтеллектДиалог,Алматы
99,Стажер-разработчик,100 000 – 150 000 ₸ на руки,Без опыта,ТОО Prime Source,Алматы
100,"Веб разработчик Full Stack, Front / Back",,Опыт 1-3 года,ТОО KazInSys,Астана
101,Junior Fullstack-разработчик,от 250 000 ₸ до вычета налогов,Опыт 1-3 года,ТОО Tanir technology,Алматы
102,Backend-разработчик,от 500 000 ₸ на руки,Опыт 1-3 года,ТОО Первомайские деликатесы,Алматы
103,Frontend-разработчик,300 000 – 600 000 ₸ на руки,Опыт 1-3 года,ТОО Documentolog,Астана
104,Junior Fullstack Разработчик,,Опыт 1-3 года,АО NOMAD insurance,Алматы
105,PHP-разработчик,450 000 – 600 000 ₸ на руки,Опыт 1-3 года,ТОО КАРАДА ПРО,Алматы
106,Frontend-разработчик,,Опыт 1-3 года,ТОО «Izi Paq»,Астана
107,Программист 1С,,Опыт 3-6 лет,ТОО Mercury Properties,Алматы
108,1С Разработчик (в офис),,Опыт 3-6 лет,ТОО NLS Kazakhstan,Алматы
109,Главный разработчик,,Опыт 1-3 года,ТОО Микрофинансовая организация MyCar Finance,Алматы
110,"Фронтенд Разработчик, Frontend Developer (React)",300 000 – 600 000 ₸ до вычета налогов,Опыт 1-3 года,ТОО BRAINEX,Петропавловск
111,"C# Разработчик, Middle",от 500 000 ₸ на руки,Опыт 3-6 лет,ТОО OXY PAY (ОКСИ ПЭЙ),Алматы
112,Разработчик Битрикс 24,,Опыт 1-3 года,ТОО Freedom Telecom Operations,Астана
113,Программист 1С,,Опыт 3-6 лет,ТОО LUKOIL Lubricants Central Asia (ТОО ЛУКОЙЛ Лубрикантс Центральная Азия),Алматы
114,Frontend-разработчик,,Опыт 3-6 лет,ТОО Jet Finance (ТОО Mogo Kazakhstan),Алматы
115,PHP-разработчик,500 000 – 500 000 ₸ на руки,Опыт 1-3 года,ТОО Alhadaya Kazakhstan,Алматы
116,PHP-разработчик,,Опыт 1-3 года,ТОО Asia Road,Алматы
117,Backend разработчик NodeJS,800 000 – 1 250 000 ₸ на руки,Опыт 3-6 лет,ООО Архитекторы Решений,Алматы
118,Frontend developer [Vue],2 000 – 2 500 $ на руки,Опыт 3-6 лет,ТОО Updevision (Апдэвэжн),Астана
119,Backend разработчик NodeJS,800 000 – 1 250 000 ₸ на руки,Опыт 3-6 лет,ООО Архитекторы Решений,Астана
120,GO Developer / React,,Опыт 1-3 года,Частная компания “Automated Communication Solutions Ltd.”,Алматы
121,Full Stack разработчик (Node.js),,Опыт 3-6 лет,ТОО Qazaq Stroy,Алматы
122,Frontend-разработчик,,Опыт 3-6 лет,ТОО Faceplate,Алматы
123,Back-end разработчик (PHP),,Опыт 3-6 лет,ТОО Freedom Technologies,Алматы
124,Java Frontend Developer (Middle),,Опыт 1-3 года,ЧК ALIF ISLAMIC BANK LTD.,Алматы
125,PHP-разработчик (Full-stack),,Без опыта,ТОО Musan Group,Астана
126,Frontend-разработчик,от 600 000 ₸ на руки,Опыт 3-6 лет,ТОО The Hive Company,Алматы
127,Разработчик BI Qlik Sense (удаленно),,Опыт 1-3 года,ООО Монтранс,Астана
128,1С разработчик,,Опыт 3-6 лет,ТОО Неткрэкер Текнолоджи Казахстан,Алматы
129,Программист 1C,,Опыт 1-3 года,ТОО Аманат,Караганда
130,Программист 1С,500 000 – 500 000 ₸ на руки,Опыт 1-3 года,ТОО Alsi Group,Алматы
131,"Senior PHP-программист (Laravel, Yii2)",1 500 – 2 000 $ на руки,Опыт 3-6 лет,ТОО НеоСтрой Азия,Атырау
132,React Developer,,Опыт 3-6 лет,"Caspian Contractors Trust,ТОО",Алматы
133,C#/.NET-разработчик,,Опыт 3-6 лет,АО Страховая компания Freedom Insurance,Алматы
134,PL/SQL developer,,Опыт 3-6 лет,"Халык-Life, АО",Алматы
135,Python-разработчик,от 100 000 ₸ на руки,Опыт 1-3 года,ТОО Keip Tech,Алматы
136,Senior Frontend-разработчик,до 3 100 $ на руки,Опыт более 6 лет,UPPERCASE UAE,Астана
137,Разработчик PHP + Bitrix 24,,Опыт 3-6 лет,ТОО JOBAM,Астана
138,PHP разработчик,,Опыт 3-6 лет,ТОО Neocode,Алматы
139,Java-разработчик,700 000 – 900 000 ₸ на руки,Опыт 3-6 лет,ТОО RNM KZ,Алматы
140,Senior Full-Stack Web3 Developer,2 500 – 4 500 $ на руки,Опыт 3-6 лет,OGD Solutions,Астана
141,PHP/Go Developer (Middle/Middle+),,Опыт 3-6 лет,Частная компания “Automated Communication Solutions Ltd.”,Алматы
142,Инженер программист микрококонтроллеров (релокация в Грузию),1 000 – 1 600 $ на руки,Опыт 1-3 года,Eastake LLC,Алматы
143,PHP/Laravel Fullstack разработчик,до 500 000 ₸ на руки,Опыт 1-3 года,ТОО Lead Partners,Алматы
144,Кроссплатформенный мобильный разработчик,от 500 000 ₸ на руки,Опыт 3-6 лет,ТОО Bugin Holding Corp,Алматы
145,Технический специалист по внедрению и сопровождению ПО,250 000 – 400 000 ₸ на руки,Опыт 1-3 года,ТОО Documentolog,Алматы
146,Специалист по IT,,Опыт 1-3 года,ТОО itsheff.kz,Караганда
147,Front End Developer (React+HTML) (Middle\Middle+)(Удаленно),1 600 – 2 000 $ на руки,Опыт 3-6 лет,KingBoost,Астана
148,Senior Rust Developer,2 500 – 4 500 $ на руки,Опыт 3-6 лет,OGD Solutions,Астана
149,Flutter разработчика,до 500 000 ₸ на руки,Опыт 1-3 года,ТОО Lead Partners,Алматы
150,Технический специалист (Инженер-программист),от 150 000 ₸ до вычета налогов,Опыт 1-3 года,ТОО Казтехносвязь,Костанай
151,Frontend-разработчик (React),250 000 – 350 000 ₸ до вычета налогов,Опыт 1-3 года,ТОО ICEBERG-Service,Алматы
152,Developer (Freelance or Full-Time),1 000 – 3 500 $ на руки,Опыт 1-3 года,GMZ Car Rental,Алматы
153,Python/Django разработчик,,Опыт 1-3 года,ТОО Медиахолдинг Partners Media Group,Алматы
154,GO Developer (Middle+),,Опыт 3-6 лет,Частная компания “Automated Communication Solutions Ltd.”,Алматы
155,Java Backend Developer (Middle),,Опыт 1-3 года,ЧК ALIF ISLAMIC BANK LTD.,Алматы
156,"Frontend разработчик (Angular, jQuery)",до 700 000 ₸ на руки,Опыт 3-6 лет,ТОО Unipark,Алматы
157,Go-разработчик,,Опыт 1-3 года,"ALSECO, АО",Алматы
158,Frontend разработчик React,,Опыт 3-6 лет,ТОО Neocode,Алматы
159,"Frontend разработчик (Angular, jQuery)",до 700 000 ₸ на руки,Опыт 3-6 лет,ТОО Unipark,Астана
160,IOS-разработчик,800 000 – 1 000 000 ₸ на руки,Опыт 3-6 лет,ТОО RNM KZ,Алматы
161,Разработчик цифровых решений (.NET),,Опыт 3-6 лет,"AIR ASTANA, АО",Алматы
162,Android Разработчик,,Опыт 1-3 года,ТОО Prime Source,Алматы
163,Frontend-разработчик,500 000 – 700 000 ₸ до вычета налогов,Опыт 3-6 лет,ТОО Best Central Group,Астана
164,"Старший разработчик SQL/Oracle, Team lead",,Опыт 3-6 лет,ТОО Заммлер Казахстан. ИТ Департамент,Алматы
165,Flutter Developer (Middle+/Senior),500 000 – 700 000 ₸ на руки,Опыт 3-6 лет,ТОО QALANKZ,Алматы
166,Java-разработчик,,Опыт 1-3 года,АО «Freedom Bank Kazakhstan»,Алматы
167,Java-разработчик Middle+,800 000 – 1 000 000 ₸ на руки,Опыт 3-6 лет,ТОО TRUE IT,Алматы
168,Senior Flutter Developer,2 500 – 4 000 $ на руки,Опыт 3-6 лет,OGD Solutions,Астана
169,Системный аналитик в компанию №1 по IT-обслуживанию в Казахстане,от 250 000 ₸ на руки,Опыт 1-3 года,ТОО IT Support Group,Алматы
170,Middle Golang разработчик,,Опыт 1-3 года,ТОО Tarlan Payments (Тарлан Пэйментс),Алматы
171,Frontend Developer в продуктовую команду 5+,от 600 000 ₸ на руки,Опыт более 6 лет,ТОО SmartEx Company,Алматы
172,"Senior Node.js, React.js Developer",2 500 – 3 500 $ на руки,Опыт 3-6 лет,OGD Solutions,Астана
173,Senior Frontend разработчик,,Опыт 3-6 лет,ТОО Musan Group,Астана
174,Flutter-разработчик,,Опыт 3-6 лет,ИП Салават,Астана
175,Senior Back-End Разработчик (Golang),,Опыт 3-6 лет,ТОО Prime Source,Алматы
176,Senior Golang Developer,2 500 – 4 000 $ на руки,Опыт 3-6 лет,OGD Solutions,Астана
177,Senior Go Developer,,Опыт 3-6 лет,ТОО One technologies,Алматы
178,Разработчик краулеров (python),,Опыт 1-3 года,ТОО Butterfly Effect,Астана
179,Учитель информатики и робототехники,,Опыт 1-3 года,ТОО CodiPlay,Алматы
180,Middle Python Developer,,Опыт 3-6 лет,ТОО AVIATA.KZ,Алматы
181,Middle PHP-разработчика,,Опыт 1-3 года,ТОО Kulan Oil,Алматы
182,Разработчик БД MS SQL Server,,Опыт 3-6 лет,"ALSECO, АО",Алматы
183,Middle+/ Senior Golang разработчик,,Опыт более 6 лет,ТОО Freedom Technologies,Алматы
184,Мобильный разработчик (React native),,Опыт 3-6 лет,ТОО Mybuh.kz,Алматы
185,ML-инженер для разработки переводчика,от 1 000 $ на руки,Опыт 1-3 года,ТОО Математический хаб,Алматы
186,Senior Node.js разработчик,,Опыт 3-6 лет,ТОО Musan Group,Астана
187,Frontend Developer React Native| React ( Middle),300 000 – 700 000 ₸ на руки,Опыт 3-6 лет,ТОО Hyper Development,Алматы
188,ML-инженер для разработки переводчика,от 1 000 $ на руки,Опыт 1-3 года,ТОО Математический хаб,Астана
189,Frontend-разработчик,200 000 – 400 000 ₸ на руки,Опыт 3-6 лет,ТОО FORYOU,Алматы
190,Java Developer (Middle/Senior),,Опыт 3-6 лет,АО МФО ОнлайнКазФинанс (ТМ Solva),Алматы
191,Senior Java Backend разработчик,,Опыт более 6 лет,ТОО Freedom Telecom Operations,Астана
192,Senior IT Specialist,,Опыт 3-6 лет,"Haileybury Astana School, НАО",Астана
193,Тестировщик,от 300 000 ₸ на руки,Опыт 1-3 года,ТОО IMARKETING,Алматы
194,Менеджер проекта IT/системный аналитик,300 000 – 600 000 ₸ на руки,Опыт 1-3 года,ТОО Mybuh.kz,Алматы
195,Системный аналитик в компанию разработки ПО,600 000 – 800 000 ₸ на руки,Опыт 3-6 лет,АО МЦ-Сервис Инжиниринг,Астана
196,DevOps engineer,,Без опыта,ТОО AVIATA.KZ,Алматы
197,Аналитик-разработчик,,Опыт 3-6 лет,Sulpak,Алматы
198,Разработчик лазерных и оптических систем,,Опыт 1-3 года,ТОО WSE,Алматы
199,"Principal Software Engineer Full Stack C#, JavaScript – AP Essentials project (to Montenegro)",,Опыт более 6 лет,Tungsten Montenegro DOO Podgorica,Астана
200,Senior Kotlin & Java Developer,,Опыт 3-6 лет,ТОО 5 LAB(ФАЙВ ЛАБ),Алматы
201,Tech Lead (Senior Backend Developer - Java),,Опыт 3-6 лет,ЧК ALIF ISLAMIC BANK LTD.,Алматы
202,Golang Developer,,Опыт 3-6 лет,Andersen,Алматы
203,BI Developer,,Опыт 1-3 года,ТОО Autodoc Group (Автодок Казахстан),Алматы
204,Senior python developer,,Опыт более 6 лет,ЧК ITS PARTNER LTD.,Алматы
205,React Front-end Middle Developer,,Опыт 1-3 года,Itransition,Астана
206,Junior Frontend Developer,,Без опыта,АО МФО ОнлайнКазФинанс (ТМ Solva),Алматы
207,Cloud Engineer,,Опыт 3-6 лет,ТОО Неткрэкер Текнолоджи Казахстан,Алматы
208,Java Sustaining Engineer (Java FX),,Опыт 3-6 лет,ТОО БЭЛЛ ЛАБС (BELLSOFT),Алматы
209,Project manager 1С,500 000 – 1 000 000 ₸ на руки,Опыт 1-3 года,ТОО Кибернетика.com,Алматы
210,Middle/Senior QA Testing automation specialist,от 600 000 ₸ на руки,Опыт 1-3 года,ТОО QOMEK KAZAKHSTAN (КОМЕК КАЗАХСТАН),Алматы
211,Программист 1С,,Опыт 1-3 года,ТОО Азамат,Шымкент
212,Аналитик 1С (junior),от 400 000 ₸ на руки,Опыт более 6 лет,ТОО DATAPAX,Астана
213,QA Automation Trainee,,Без опыта,Andersen,Алматы
214,IT-инженер,,Опыт 3-6 лет,ТОО KIA Qazaqstan,Костанай
215,Тестировщик,,Без опыта,ТОО Микрофинансовая организация ФРИДОМ ФИНАНС Кредит,Алматы
216,Cloud Platform Lead,,Опыт 3-6 лет,ТОО Неткрэкер Текнолоджи Казахстан,Алматы
217,Ruby on Rails Senior Developer,,Опыт 3-6 лет,Itransition,Алматы
218,Senior/Middle DevOps инженер,,Опыт 3-6 лет,ТОО Bilim Land (Bilim Media Group),Алматы
219,Dynamics 365 Field Service Technical Support (Developer),,Опыт 3-6 лет,Itransition,Астана
220,Специалист в Отдел внедрения инноваций,250 000 – 400 000 ₸ до вычета налогов,Опыт 1-3 года,ТОО МФО Арнур Кредит,Шымкент
221,Product Owner 1C:Enterprise,,Опыт 3-6 лет,ТОО Autodoc Group (Автодок Казахстан),Алматы
222,DevOps инженер - системный администратор,450 000 – 600 000 ₸ до вычета налогов,Опыт 1-3 года,ТОО Институт Космической Техники и Технологии,Алматы
223,Консультант 1С,,Без опыта,ТОО Диалог-Сервис,Алматы
224,Junior Flutter Developer,,Без опыта,АО МФО ОнлайнКазФинанс (ТМ Solva),Алматы
225,Технический писатель,300 000 – 800 000 ₸ до вычета налогов,Опыт 1-3 года,ТОО Интернет-компания PS,Алматы
226,Middle/Senior DevOps-инженер,600 000 – 900 000 ₸ на руки,Опыт 3-6 лет,ТОО NTS design,Астана
227,Senior 1C Developer,,Опыт 3-6 лет,ТОО KPMG,Алматы
228,Senior/Mid DevOps Engineer,,Опыт 1-3 года,ТОО Неткрэкер Текнолоджи Казахстан,Алматы
229,Cистемный аналитик/System analyst,,Опыт 1-3 года,ТОО TechWorks,Алматы
230,Менеджер IT-проектов,от 500 000 ₸ на руки,Опыт 3-6 лет,Частная компания “Automated Communication Solutions Ltd.”,Алматы
231,Бизнес/системный аналитик,,Опыт 1-3 года,ТОО Platonus,Астана
232,System Architect,,Опыт 3-6 лет,ТОО Неткрэкер Текнолоджи Казахстан,Алматы
233,Strong Middle/Senior System Analyst,700 000 – 1 000 000 ₸ до вычета налогов,Опыт более 6 лет,ТОО QALANKZ,Алматы
234,Business Intelligence Analyst/ PowerBI Developer,600 000 – 800 000 ₸ до вычета налогов,Опыт 1-3 года,ТОО QOMEK KAZAKHSTAN (КОМЕК КАЗАХСТАН),Алматы
235,Системный аналитик,,Опыт 3-6 лет,ТОО Микрофинансовая организация ФРИДОМ ФИНАНС Кредит,Алматы
236,Customer Support Intern (paid internship),,Без опыта,ТОО Инфобип Казахстан,Алматы
237,Atlassian Engineer,,Опыт 3-6 лет,Softgile,Алматы
238,Senior Cloud SRE,,Опыт 3-6 лет,ТОО Неткрэкер Текнолоджи Казахстан,Алматы
239,QA Engineer (тестировщик) (manual),от 300 000 ₸ на руки,Опыт 1-3 года,ТОО Jana Post,Алматы
240,Frontend/backend разработчик/UX/UI дизайнер мобильных приложении,250 000 – 400 000 ₸ на руки,Опыт 1-3 года,ТОО Уайт энд Блю,Астана
241,Начинающий No Code разработчик. Полный день оффлайн,150 000 – 200 000 ₸ на руки,Без опыта,ТОО BP Contact,Алматы
242,Консультант 1С,500 000 – 1 000 000 ₸ на руки,Опыт 1-3 года,ТОО Кибернетика.com,Алматы
243,Специалист технической поддержки,до 250 000 ₸ на руки,Опыт 1-3 года,ТОО DASM Group of companies (MEGA DEVELOPMENT),Алматы
244,React Front-end Senior Developer,,Опыт 3-6 лет,Itransition,Астана
245,Консультант 1С,500 000 – 1 000 000 ₸ на руки,Опыт 1-3 года,ТОО Кибернетика.com,Астана
246,Инженер-математик/специалист по математическому моделированию,,Опыт 3-6 лет,ТОО WSE,Алматы
247,Аналитик IT-систем,,Опыт 1-3 года,"ALSECO, АО",Алматы
248,IT бизнес/cистемный аналитик,до 450 000 ₸ на руки,Опыт 1-3 года,ТОО TEQ World,Астана
249,Senior Java Full Stack Engineer,,Опыт 3-6 лет,"ТОО Epam Kazakhstan (Эпам Казахстан),ТОО",Астана
250,IT Engineer,,Опыт 3-6 лет,ТОО Неткрэкер Текнолоджи Казахстан,Алматы
251,Project Manager,800 000 – 1 000 000 ₸ на руки,Опыт 1-3 года,ТОО Suretter Software (Суреттер Софтваре),Алматы
