ID,Vacancy_name,Salary,Experience,Company_name,Location
1,Программист 1С,от 400 000 ₸ на руки,Опыт 1-3 года,ТОО ИТС-ком,Астана
2,Middle Программист 1С,,Опыт 3-6 лет,АО Группа компаний Аллюр,Астана
3,Backend-разработчик,от 500 000 ₸ на руки,Опыт 3-6 лет,ТОО MaxiPay,Алматы
4,Программист-разработчик,400 000 – 1 000 000 ₸ на руки,Опыт более 6 лет,ТОО SoftRise,Алматы
5,Инженер-программист C/C++,700 000 – 1 100 000 ₸ на руки,Опыт 3-6 лет,ТОО Suretter Software (Суреттер Софтваре),Алматы
6,Разработчик программного обеспечения,от 1 200 000 ₸ до вычета налогов,Опыт 3-6 лет,ТОО DAR RAIL,Астана
7,Программист Java SPRING,2 800 – 5 500 $ до вычета налогов,Опыт 3-6 лет,Analytics Company,Алматы
8,Full Stack React разработчик,от 2 000 $ на руки,Опыт 1-3 года,ТОО Математический хаб,Атырау
9,Инженер-программист,300 000 – 500 000 ₸ до вычета налогов,Опыт 1-3 года,АО КСЖ Государственная аннуитетная компания,Астана
10,Full Stack React разработчик,от 2 000 $ на руки,Опыт 1-3 года,ТОО Математический хаб,Алматы
11,1С Программист 8.3,до 1 500 000 ₸ на руки,Опыт 3-6 лет,ТОО Consulting Business Centre Eurasia,Алматы
12,Программист Delphi,,Без опыта,"ТОО EUROPHARMA, ТМ (ТОО AK NIET GROUP)",Алматы
13,Backend разработчик,,Опыт 3-6 лет,АО Jusan Invest,Алматы
14,Full Stack React разработчик,от 2 000 $ на руки,Опыт 1-3 года,ТОО Математический хаб,Астана
15,Full Stack разработчик среднего уровня,600 000 – 600 000 ₸ на руки,Без опыта,ТОО QSCHOOL,Алматы
16,Программист 1С (стажер),70 000 – 80 000 ₽ до вычета налогов,Без опыта,Aston,Алматы
17,Программист,290 304 – 290 304 ₸ до вычета налогов,Опыт 1-3 года,АО Авиаремонтный завод № 405,Алматы
18,Программист 1С,от 400 000 ₸ до вычета налогов,Без опыта,"ТОО EUROPHARMA, ТМ (ТОО AK NIET GROUP)",Алматы
19,Программист 1С,от 500 000 ₸ до вычета налогов,Опыт 1-3 года,ТОО Клокстер,Астана
20,Программист (Junior) 1С,150 000 – 450 000 ₸ до вычета налогов,Опыт 1-3 года,ТОО СофтМастер-Плюс,Кокшетау
21,Backend-разработчик,500 000 – 1 000 000 ₸ до вычета налогов,Опыт 3-6 лет,ТОО Best Central Group,Астана
22,Программист 1С,до 700 000 ₸ до вычета налогов,Опыт 1-3 года,ТОО ST Networks,Алматы
23,Старший инженер-программист 1С,400 000 – 480 000 ₸ до вычета налогов,Опыт 1-3 года,ТОО ДЕДОВ,Караганда
24,Программист 1С,400 000 – 1 200 000 ₸ на руки,Опыт 1-3 года,ТОО Сеть магазинов цифровой и бытовой техники ДНС КАЗАХСТАН,Астана
