ID,Vacancy_name,Salary,Experience,Company_name,Location
1,Администратор-кассир СПА,от 250 000 ₸ до вычета налогов,Опыт 1-3 года,ИП Fitness Palace KZ Нурмаханбетов Е.С.,Астана
2,Администратор клиники,250 000 – 250 000 ₸ на руки,Опыт 1-3 года,ТОО Офтальмологический Центр Focus,Алматы
3,Администратор в стоматологическую клинику,200 000 – 250 000 ₸ на руки,Без опыта,ТОО Центральная стоматология города Астаны,Астана
4,Администратор в медицинский центр,от 250 000 ₸ на руки,Опыт 1-3 года,ТОО RB-clinic,Астана
5,Администратор в кофейню (общепит),от 270 000 ₸ на руки,Опыт 1-3 года,ТОО Coffee Group Company,Алматы
6,Администратор Ресторан,250 000 – 300 000 ₸ на руки,Опыт 1-3 года,ИП AiMeir,Алматы
7,Администратор,170 000 – 200 000 ₸ на руки,Без опыта,ИП БОРОДУ НЕ БРЕЙ,Алматы
8,Администратор торгового зала,,Без опыта,АО Группа компаний Аллюр,Астана
9,Администратор торгового зала,130 000 – 200 000 ₸ на руки,Без опыта,ТОО Toyota Tsusho Kazakhstan Auto,Астана
10,Администратор / Офис-менеджер,от 300 000 ₸ на руки,Опыт 3-6 лет,ИП Imperial Almaty,Алматы
11,Администратор,,Опыт 3-6 лет,ТОО DAMDI SERVICE,Туркестан
12,Администратор по вацапу,250 000 – 350 000 ₸ до вычета налогов,Без опыта,ИП ALANA,Алматы
13,Администратор,150 000 – 500 000 ₸ на руки,Без опыта,ИП BEST FITNESS GROUP,Усть-Каменогорск
14,Администратор в сеть SAHAR&VOSK,250 000 – 400 000 ₸ на руки,Без опыта,ТОО SAHAR&VOSK Almaty,Алматы
15,Администратор образовательного центра,300 000 – 400 000 ₸ до вычета налогов,Опыт 1-3 года,ИП Кенже,Алматы
16,Администратор,400 000 – 450 000 ₸ на руки,Опыт 1-3 года,ИП фатима,Астана
17,Администратор,230 000 – 300 000 ₸ на руки,Без опыта,ИП СОТНИКОВА,Астана
18,Администратор стоматологической клиники,250 000 – 350 000 ₸ на руки,Опыт 1-3 года,ИП Dent house,Астана
19,Администратор в фитнес клуб,от 200 000 ₸ на руки,Без опыта,ИП Underground Gym,Костанай
20,Администратор,250 000 – 300 000 ₸ на руки,Без опыта,ИП Светлана,Алматы
21,Администратор в медицинский центр,250 000 – 400 000 ₸ на руки,Опыт 3-6 лет,ТОО Medi-art,Астана
22,Администратор-управляющий (г. Астана),600 000 – 800 000 ₸ на руки,Опыт 3-6 лет,ТОО FRIGG,Астана
23,Администратор,от 300 000 ₸ до вычета налогов,Без опыта,ТОО OPATRA LONDON (ОПАТРА ЛОНДОН),Астана
24,Администратор,150 000 – 250 000 ₸ на руки,Без опыта,ИП ДРЦ ИграЛайф,Костанай
25,Администратор в сеть фитнес залов,250 000 – 280 000 ₸ на руки,Опыт 1-3 года,ТОО Adrenaline Fitness (Адреналин Фитнес),Алматы
26,Администратор,200 000 – 350 000 ₸ на руки,Опыт 1-3 года,ИП Altair,Алматы
27,Администратор клиники эстетической медицины,300 000 – 400 000 ₸ на руки,Опыт 1-3 года,ТОО Beautyprof,Алматы
