ID,Vacancy_name,Salary,Experience,Company_name,Location
1,Юрист,250 000 – 300 000 ₸ до вычета налогов,Опыт 1-3 года,ТОО YES EXCHANGE,Алматы
2,Помощник юриста,,Опыт 3-6 лет,ТОО ПК Алтын Таға,Каскелен
3,Юрист,500 000 – 1 200 000 ₸ на руки,Опыт более 6 лет,ТОО ADM Valner,Костанай
4,Юрисконсульт,350 000 – 380 000 ₸ на руки,Опыт 1-3 года,ТОО DTJ SERVICE,Усть-Каменогорск
5,Юрист,500 000 – 500 000 ₸ на руки,Опыт более 6 лет,ТОО Hyundai Auto Kazakhstan,Алматы
6,Корпоративный юрист,от 500 000 ₸ на руки,Опыт более 6 лет,ТОО ALEM LTD,Алматы
7,Юрист,от 350 000 ₸ на руки,Опыт 3-6 лет,ТОО Оптимальный,Караганда
8,Юрист,от 500 000 ₸ на руки,Опыт 3-6 лет,ТОО Kemel Education,Алматы
9,Юрист,300 000 – 320 000 ₸ до вычета налогов,Опыт 1-3 года,ТОО Тазалык-2012,Костанай
10,Юрист,80 000 – 100 000 ₽ на руки,Опыт 3-6 лет,ООО Рециклинговая Компания,Актобе
11,Юрист,400 000 – 600 000 ₸ до вычета налогов,Опыт 3-6 лет,ТОО Mega SMART,Алматы
12,Юрист,450 000 – 500 000 ₸ до вычета налогов,Опыт 3-6 лет,ТОО Nur Zholy Сustoms Service,Жаркент
13,Миграционный юрист,400 000 – 500 000 ₸ на руки,Опыт 1-3 года,ТОО PROFUSION PROJECTS,Алматы
14,Корпоративный юрист,от 500 000 ₸ до вычета налогов,Опыт 3-6 лет,ТОО ВАТЕК КАЗАХСТАН,Алматы
15,Юрист,,Опыт более 6 лет,ТОО HUMAN CAPITAL GROUP,Алматы
16,Юрист (дистанционная работа для иногородних специалистов),400 000 – 600 000 ₸ на руки,Опыт 1-3 года,ТОО QazBankrot.kz,Алматы
17,Помощник юриста,250 000 – 350 000 ₸ на руки,Без опыта,ТОО МИКРОФИНАНСОВАЯ ОРГАНИЗАЦИЯ KREDIT SEVEN KAZAKHSTAN (КРЕДИТ СЕВЕН КАЗАХСТАН),Алматы
18,Юрист,,Опыт 3-6 лет,ТОО ГидроТехСнаб Астана,Астана
19,Помощник юриста,от 370 000 ₸ на руки,Без опыта,ИП Правовой пульс,Алматы
20,Начинающий юрист,,Без опыта,"ТОО Astana Mall Trading,ТОО",Астана
21,Юрист,,Опыт 3-6 лет,ТОО АгроТехМенеджмент,Астана
22,Юрист (помощник юриста),,Опыт 3-6 лет,ТОО Dostyk TransTerminal (Достык ТрансТерминал),Алматы
23,Юрист,400 000 – 450 000 ₸ на руки,Опыт более 6 лет,ТОО Керуен-Medicus,Алматы
24,Старший юрист,500 000 – 500 000 ₸ на руки,Опыт более 6 лет,АО ALG Company,Алматы
25,Помощник юриста/Ассистент юриста,от 380 000 ₸ на руки,Без опыта,ИП Правовой пульс,Алматы
26,Юрист,,Опыт 1-3 года,ТОО РАМС КАЗАХСТАН,Атырау
27,Юрист,до 400 000 ₸ на руки,Опыт 3-6 лет,ТОО SATURN DISTRIBUTION (САТУРН ДИСТРИБЬЮШН),Алматы
28,Юрист в DSF Trading Co,от 400 000 ₸ на руки,Опыт 1-3 года,ТОО DSF Trading Co,Алматы
29,Юрист по судебной работе,от 450 000 ₸ на руки,Опыт 1-3 года,ИП Легал Партнер,Алматы
30,Юрист,,Опыт 3-6 лет,ТОО Новые Технологии Тараз,Тараз
31,Юрист,до 330 000 ₸ до вычета налогов,Опыт 1-3 года,Тойота Центр / Лексус Центр (ТОО Автоцентр Актобе),Актобе
32,Юрист в единственном числе,,Опыт более 6 лет,ТОО Лечебно-оздоровительный комплекс Алатау,Алматы
33,Специалист\юрист,200 000 – 250 000 ₸ на руки,Без опыта,ТОО INDEPENDENT LAWYERS GROUP,Алматы
34,Юрист,,Опыт 3-6 лет,КХ Central Asia Agro,Шымкент
35,Старший юрист правовой поддержки,,Опыт 1-3 года,"Beeline, ТМ",Алматы
36,Юрист,300 000 – 350 000 ₸ на руки,Опыт 1-3 года,ИП SV TRANS Logistics,Костанай
37,Юрист,350 000 – 400 000 ₸ на руки,Опыт 1-3 года,ТОО Top cleaning service,Алматы
38,Юрист,,Опыт 1-3 года,АО Международный аэропорт Шымкент,Шымкент
39,Юрист по договорной работе,264 600 – 264 600 ₸ до вычета налогов,Без опыта,АО Авиаремонтный завод № 405,Алматы
40,Юрист,,Опыт 3-6 лет,ТОО QGG SERVICE,Астана
41,Юрист,от 300 000 ₸ до вычета налогов,Опыт 1-3 года,"Аэропорт Сары-Арка, АО",Караганда
42,Юрист,,Опыт 3-6 лет,ТОО Сайман Корпорация,Алматы
43,Юрист,250 000 – 500 000 ₸ до вычета налогов,Опыт 1-3 года,ТОО General Business Law,Астана
44,Помощник юриста,от 370 000 ₸ на руки,Без опыта,ИП Юридическая Точка,Актобе
45,Юрист,,Опыт 1-3 года,ТОО АльДиС,Алматы
