ID,Vacancy_name,Salary,Experience,Company_name,Location
54,Маркетолог (гибкий график),180 000 – 200 000 ₸ на руки,Опыт 1-3 года,ТОО SND Engineering,Астана
55,Маркетолог / Директор по маркетингу,500 000 – 800 000 ₸ на руки,Опыт 3-6 лет,ИП Клуб предпринимателей 999 (ГАГУА),Астана
56,Маркетолог,400 000 – 500 000 ₸ на руки,Опыт 1-3 года,ИП Центр подготовки (AIPLUS),Алматы
57,Trade Маркетолог,500 000 – 720 000 ₸ на руки,Опыт 3-6 лет,ТОО RB Brands,Алматы
58,Маркетолог,200 000 – 250 000 ₸ на руки,Опыт 1-3 года,ИП BON TON ceramika (ИП Борзых В.Ю.),Уральск
59,Маркетолог,от 400 000 ₸ до вычета налогов,Опыт 1-3 года,ИП НОСКОВА АЛЕНА НИКОЛАЕВНА,Алматы
60,Маркетолог,от 350 000 ₸ на руки,Опыт 3-6 лет,ТОО Chaikhana NAVAT ( Чайхана НАВАТ),Алматы
61,Digital маркетолог (работа в офисе),до 700 000 ₸ на руки,Опыт 1-3 года,ТОО Net Light Lab,Алматы
62,Маркетолог,350 000 – 400 000 ₸ на руки,Опыт 3-6 лет,ТОО ND Lakshmi,Алматы
63,Ассистент маркетолога,,Без опыта,"Маркетинг, дизайн, PR",Алматы
64,Маркетолог,300 000 – 700 000 ₸ на руки,Опыт 3-6 лет,ТОО BRO eyewear,Алматы
65,Маркетолог,,Опыт 3-6 лет,ТОО LGS KAZAKHSTAN ELEVATOR GROUP (ЭЛДЖИЭС КАЗАХСТАН ЭЛЕВАТОР ГРУП),Алматы
66,Маркетолог,300 000 – 500 000 ₸ до вычета налогов,Опыт 3-6 лет,ИП Тулебаев,Усть-Каменогорск
67,Маркетолог,110 000 – 120 000 ₽ на руки,Опыт 3-6 лет,Paper Planes,Алматы
68,Маркетолог,,Опыт 1-3 года,АО NOMAD insurance,Алматы
69,Маркетолог Beefeater+Ketchup,от 500 000 ₸ на руки,Опыт 1-3 года,ТОО SG Restaurants (CHEchil),Алматы
70,Маркетолог,от 450 000 ₸ на руки,Опыт 1-3 года,ТОО ПРОЕКТ ПИНТ,Астана
71,Маркетолог,300 000 – 400 000 ₸ на руки,Опыт 3-6 лет,ТОО MasterTradeSystem,Уральск
72,Маркетолог / Менеджер по омниканальному маркетингу,400 000 – 740 000 ₸ на руки,Опыт 1-3 года,ТОО Adam Smith Eurasia (Адам Смит Евразия),Алматы
73,Маркетолог,от 300 000 ₸ на руки,Опыт 1-3 года,ТОО Подсолнух PRO,Алматы
74,Digital маркетолог,до 500 000 ₸ на руки,Опыт 1-3 года,ТОО EUROELECTRIC Kazakhstan,Алматы
75,Бренд-менеджер (г. Алматы),от 500 000 ₸ на руки,Опыт 1-3 года,ТОО BEAUTY LUX,Алматы
76,Маркетолог,от 400 000 ₸ до вычета налогов,Опыт 3-6 лет,ТОО NeoCredit (МФО LEGAL MONEY),Алматы
77,Контент-менеджер/Помощник маркетолога,от 300 000 ₸ на руки,Опыт 1-3 года,ТОО Medivide,Алматы
78,Маркетолог,от 350 000 ₸ на руки,Опыт 1-3 года,ТОО Сынар Групп,Алматы
79,Интернет-маркетолог,от 70 000 ₽ на руки,Опыт 1-3 года,ИП Haircorporation (ИП Василькова),Алматы
80,Performance маркетолог,500 – 1 500 $ на руки,Опыт 1-3 года,ИП Performance,Алматы
81,Диджитал-маркетолог,560 000 – 560 000 ₸ на руки,Опыт 3-6 лет,ТОО Hyundai Auto Kazakhstan,Алматы
82,Маркетолог,,Опыт 3-6 лет,ТОО GLOBAL COFFEE MANAGEMENT,Шымкент
83,Маркетолог-Стратег / Аналитик / Руководитель проектов,300 000 – 600 000 ₸ на руки,Опыт 3-6 лет,ТОО Prime Goods,Алматы
84,Интернет-маркетолог,от 500 000 ₸ на руки,Опыт 1-3 года,ТОО Монста,Алматы
85,Маркетолог,200 000 – 250 000 ₸ на руки,Опыт 1-3 года,ТОО Витрина Недвижимости,Алматы
86,Контент-маркетолог,250 000 – 350 000 ₸ до вычета налогов,Опыт 1-3 года,ИП Пугач Олег Леонидович,Алматы
87,"Бизнес ассистент маркетолога (дизайн, таргет, смм)",150 000 – 500 000 ₸ до вычета налогов,Опыт 3-6 лет,ИП Чемпионик,Алматы
88,Маркетолог,от 400 000 ₸ на руки,Опыт 3-6 лет,ИП Ильизов,Алматы
89,Маркетолог,400 000 – 600 000 ₸ на руки,Опыт 3-6 лет,ТОО WUNDER DIGITAL (ВУНДЕР ДИДЖИТАЛ),Алматы
90,Маркетолог - смм,200 000 – 400 000 ₸ на руки,Опыт 1-3 года,ИП Агентство рыжих,Алматы
91,Digital маркетолог,от 400 000 ₸ на руки,Опыт 1-3 года,ТОО EUROELECTRIC Kazakhstan,Алматы
92,Digital маркетолог,от 250 000 ₸ на руки,Опыт 1-3 года,ТОО Фармация Юниверсал,Алматы
93,Маркетолог медицина,250 000 – 300 000 ₸ на руки,Опыт 3-6 лет,ТОО SAIGAK-ORTO (САЙГАК-ОРТО),Алматы
94,SMМ маркетолог,от 300 000 ₸ до вычета налогов,Опыт 1-3 года,ИП Korea4u,Алматы
95,Таргетолог в маркетинговое агентство,,Опыт 1-3 года,ИП PBM Group,Астана
96,Менеджер по маркетингу и рекламе,,Опыт 3-6 лет,ТОО M-eat Franchising KZ,Алматы
97,Маркетолог,200 000 – 500 000 ₸ на руки,Без опыта,ТОО Инвестиционный Центр Недвижимости,Астана
98,Маркетолог - аналитик Додо Пицца (Шымкент /Тараз).,380 000 – 400 000 ₸ на руки,Опыт 1-3 года,ТОО La Tomatina,Шымкент
99,Маркетолог,,Опыт 1-3 года,ТОО NBK-A,Караганда
100,"Руководитель по маркетингу и продвижению ""Центра красок №1"" (розничная сеть).",800 000 – 1 000 000 ₸ на руки,Опыт более 6 лет,ТОО SAMRUK Trade,Алматы
101,Маркетолог/таргетолог,,Опыт 3-6 лет,ТОО Микрофинансовая организация ФРИДОМ ФИНАНС Кредит,Алматы
102,Ассистент маркетолога,от 250 000 ₸ до вычета налогов,Опыт 1-3 года,ТОО Ортотэк,Алматы
103,Маркетолог в оптово-розничную компанию по продаже продуктов,,Опыт 1-3 года,ИП Алменов А.У,Кызылорда
104,Digital-маркетолог,до 500 000 ₸ на руки,Опыт 1-3 года,ТОО Khan Group,Алматы
105,Маркетолог (Brand nanager),,Опыт более 6 лет,ТОО Inova Tech,Алматы
106,Специалист по маркетингу,до 320 000 ₸ до вычета налогов,Опыт 3-6 лет,ТОО КМК- Group Corporation,Темиртау
107,Таргетолог маркетолог,250 000 – 300 000 ₸ на руки,Опыт 1-3 года,ТОО ПРОФРЕЗЕРВ-АСТАНА,Астана
108,Маркетолог,200 000 – 300 000 ₸ до вычета налогов,Опыт 1-3 года,ТОО Titalee,Астана
