ID,Vacancy_name,Salary,Experience,Company_name,Location
1,Бухгалтер,400 000 – 400 000 ₸ на руки,Опыт 1-3 года,ТОО DIVAN_HOME,Астана
2,Помощник бухгалтера,250 000 – 300 000 ₸ на руки,Опыт 3-6 лет,"SANY KAZAKHSTAN - Генеральное Представительство SANY HEAVY MACHINE CO., Ltd в Казахстане",Алматы
3,Бухгалтер,200 000 – 300 000 ₸ на руки,Без опыта,ТОО ИМПУЛЬС-LOGIST,Аксай (Казахстан)
4,Ведущий бухгалтер,300 000 – 500 000 ₸ до вычета налогов,Опыт 3-6 лет,ИП Buhconsult,Алматы
5,Младший бухгалтер,до 200 000 ₸ на руки,Без опыта,ТОО Бухгалтерская фирма Ajour,Алматы
6,Старший бухгалтер октябрь 2024г.,до 450 000 ₸ на руки,Опыт 3-6 лет,ТОО Бухгалтерская фирма Ajour,Алматы
7,"Бухгалтер (по разным участкам учета), в одном лице",,Опыт 1-3 года,ИП Центр обслуживания бизнеса Актив (ИП Тодорова М.А.),Алматы
8,Бухгалтер по учету производства,250 000 – 350 000 ₸ на руки,Опыт 3-6 лет,ТОО АМК-Метиз,Астана
9,Главный бухгалтер,,Опыт 3-6 лет,ТОО Зеренда Сактау Онимдери,Алматы
10,Бухгалтер,280 000 – 350 000 ₸ на руки,Опыт 1-3 года,ТОО Альба-Хим,Алматы
11,Бухгалтер по учету производства,220 000 – 250 000 ₸ на руки,Опыт 3-6 лет,ТОО АМК-Метиз,Шымкент
12,Бухгалтер на первичную документацию,до 370 000 ₸ до вычета налогов,Без опыта,ТОО Bus Logistic Group,Балхаш
13,Бухгалтер материального стола,300 000 – 400 000 ₸ до вычета налогов,Опыт 1-3 года,ТОО Семей Жолдары,Семей
14,Бухгалтер,350 000 – 500 000 ₸ до вычета налогов,Опыт 1-3 года,ТОО ARTER,Астана
15,Главный бухгалтер в единственном лице/заместитель главного бухгалтера,от 1 000 000 ₸ до вычета налогов,Опыт 1-3 года,ТОО Вертро Астана,Астана
16,Ведущий бухгалтер,от 650 000 ₸ на руки,Опыт 3-6 лет,ТОО МетТрансТерминал - Алматы,Алматы
17,Помощник бухгалтера,260 000 – 300 000 ₸ на руки,Опыт 1-3 года,ИП Комаров А.С,Кокшетау
18,Бухгалтер,500 000 – 500 000 ₸ на руки,Опыт 3-6 лет,ТОО SAN tyres,Алматы
19,Бухгалтер,от 1 000 000 ₸ до вычета налогов,Опыт 3-6 лет,"АО Товарная биржа ЕТС (Товарная биржа Евразийская Торговая Система, АО)",Алматы
20,Главный бухгалтер,400 000 – 700 000 ₸ на руки,Опыт 3-6 лет,ТОО PAYPLUS,Алматы
21,Бухгалтер,500 000 – 500 000 ₸ на руки,Опыт 3-6 лет,Веза,Астана
22,Бухгалтер на первичную документацию,от 350 000 ₸ на руки,Опыт 3-6 лет,ООО КЕЖО ФУУД,Алматы
23,Бухгалтер по реализации,от 500 000 ₸ до вычета налогов,Опыт 3-6 лет,"ТОО IC Line, ТОО",Алматы
24,Бухгалтер,250 000 – 350 000 ₸ на руки,Без опыта,ТОО Seven Refractories Asia (Севен Рефракториз Азия),Караганда
